dist_centro	longitude	latitude	peso	dist_cap
52.221147	51.0725	-21.685278	2500	501
20.792106	49.643611	-21235	1480	402
21.153444	46.978611	-22.059444	1500	169
9.1412908	46.716667	-21.936667	980	179
53.70899	46.632778	-22.476389	400	119
37.851102	49.238889	-22.880556	1180	276
27.174679	47.876111	-22.599444	0	165
80.795464	48.9875	-22.469167	780	269
16.386941	47.898611	-23.550833	1420	129
24.179165	51.412778	-21.955278	3000	521
62.52044	49.058889	-20.523611	857	418
28.70187	47.373889	-21.025556	3600	289
31.982961	50.163611	-21.580556	2790	423
80.901207	47.261944	-23535	390	64
35.273052	49.910556	-20.320833	5390	492
30.378171	51.471944	-22.079444	4680	522
14.97061	49.718889	-22.089167	1297	355
33.761972	49.763056	-22.444167	340	343
33.344272	47.331389	-22.739167	650	114
42.18981	48.101667	-21.724444	200	252
37.397299	49.731667	-20.299167	3940	481
36.036768	46.764444	-22.701111	3600	95
25.153108	47.663056	-22.126389	800	189
39.110491	51.379444	-20.896111	7400	570
38.393313	48.412778	-23.489722	8490	182
27.81778	48.127222	-22.789444	2600	174
27.797935	51.387222	-22.295278	3500	507
37.482154	45.229722	-22.846944	470	164
12.814515	50.879722	-20.449444	2387	557
23.502734	48.8425	-24.509444	100	248
31.08101	47.061389	-23.438611	413	45
69.804894	50.432778	-21.208889	3840	469
45.770622	47.614167	-23.505278	846	100
13.830351	47.785833	-20.090278	300	401
44.958741	49.053889	-23.134444	1000	251
68.828334	44.447778	-22.673889	2017	244
31.287351	48.175556	-21.794444	2500	250
55.91914	47.384167	-22.356944	1534	153
68.006096	50465	-21.7725	320	440
31.296155	48.911111	-22.028611	2408	288
61.266278	44.696944	-22.579722	3100	226
48.491382	48665	-22.668056	360	230
54.706067	48.786944	-21.187778	290	343
38.716097	47.1725	-22.573056	1233	121
88.404207	46.320833	-23.396111	35	36
28.868934	50.727222	-20.158889	2927	565
40.485505	50.412222	-22.661667	2600	399
18.372145	46.550278	-23.116944	1600	48
36.906349	50.554722	-20.685556	3600	514
34.024034	49.333056	-22.146667	1710	317
12.693888	49.949722	-21.460833	1990	412
31.717358	48.925833	-23.098611	4120	239
29.353853	49.445278	-20.918056	1230	411
50.023116	49.356667	-21.899722	336	334
13.900309	49.583611	-20.735278	1530	435
78.374866	44.323333	-22.683611	1580	256
51.490713	49.561389	-23.626944	1430	299
31.478382	49.949167	-21.266667	1140	424
36.389146	48.740278	-22.074444	2100	271
67.767613	48.558056	-22.494722	340	229
20.513717	49.024444	-24.473056	90	264
51.262531	48.504722	-24.756389	900	232
0	48.567778	-20.557222	2500	387
42.523993	48.163889	-21.193611	150	304
51.149879	46.876111	-23.510556	0	25
51.474558	50.733889	-21.921944	650	458
0	47585	-20.891111	5000	310
66.392015	49.060556	-22.314722	980	284
0	48.479167	-20.949444	2750	345
33.684066	50.811944	-21.270556	170	498
22.104525	49.474167	-23.013056	2840	296
19.521237	46.138611	-23.854444	0	61
65.110141	50.470556	-21.403333	1500	461
57.023746	50.34	-21.288611	4600	456
78.27814	46.038611	-23.5725	135	61
0	48.390833	-21.9925	3000	249
20.667051	48.518056	-22.136111	1370	248
27.08581	48.257778	-23.102222	4080	173
51.831677	47.672222	-23.283333	1030	110
21.820351	46.465278	-23135	500	49
40.122911	49.143889	-24.317778	78	269
26.597805	50.534444	-22.269722	1736	424
48.688228	48.778889	-22.193056	990	266
22.727867	49.073611	-21.619722	1950	329
87.662812	48.971111	-22.569444	236	263
29.702775	48445	-22.885833	5800	199
0	46.541944	-22.951944	6000	67
47.522784	50.315556	-21.499167	1330	441
60.430897	50.185278	-21.166389	450	451
13.523048	47.658611	-20.991389	1000	302
69.387683	48.126667	-22.284167	2980	207
55.855886	48.592778	-23.7975	3000	202
51.487059	50.147222	-21.066111	2850	454
0	47.708333	-20.191111	3000	388
42.627399	49.3375	-22.455556	586	302
17.669396	47.132778	-23.3075	2100	57
17.591517	45.706944	-23.100833	4000	107
45.82517	45.009444	-22665	5870	193
73.989405	46.643889	-21.529444	3200	223
39.136642	49.61	-21.8025	692	362
16.28963	51.235556	-22.012222	3500	502
50.147198	46.740556	-23.364167	0	23
14.29412	51.998333	-21.831667	2210	583
44.324831	46.876944	-23.356111	93	32
13.111049	48.122778	-24.736111	2000	200
78.11972	48.809444	-20.879722	480	371
0	47.304167	-21.275278	11000	261
43.235291	48.477222	-23.591944	2650	188
0	47.060833	-22.905556	9585	83
43.81452	46.784444	-23.206389	21	41
32.12956	45.591389	-22.739444	115	139
56.343234	50.0025	-22.603056	575	360
36.641809	47.926667	-25.014722	100	209
42.392656	45.055278	-22.703611	945	187
48.830396	50.386944	-22.746389	690	394
52.287424	48.630833	-21.325278	80	321
29.20106	49.783333	-23.006389	89	328
81.670675	48.349444	-24.005833	1800	182
35.146644	47.734722	-23.470556	1500	113
36.764311	47.507778	-22995	1907	108
67.634374	45.413056	-23.620278	578	125
55.366552	46.835556	-23.5225	0	21
0	49.914167	-20.081944	10576	512
59.861575	47.086389	-21.773889	1800	202
13.959216	47.169722	-21.282778	4500	257
49.500983	51.4875	-20.872222	5420	581
44.835836	48.972778	-21.137778	1740	359
65.396939	49.058333	-21.049444	463	373
46.700585	49.268333	-20.902778	2787	399
28.378956	49.166111	-23.035556	3130	265
31.989111	47.743611	-23165	400	121
24.236534	47.953056	-23.226667	2154	139
27.385062	47.778056	-22.509722	780	164
61.205656	50.449167	-21.559722	550	450
17.588707	48.540833	-20.713333	1120	370
0	48.688889	-20.175833	856	429
65.005023	47.1725	-22.330278	180	146
0	48.010556	-23.015278	4200	152
62.207969	47.456667	-22.481944	234	145
48.403186	50.281389	-21.351944	1450	447
49.187343	49.313611	-23.631111	1875	273
35.166025	47.625833	-22.22	1320	179
32.046508	47.196111	-22.645833	172	115
46.269472	49.777778	-20.477778	4140	470
54.144725	46.919167	-23.603889	0	30
44.657664	47.729444	-21.340278	1600	269
30.566828	47.420278	-20.397222	2410	358
70.163723	50.793611	-22.735556	400	435
55.42864	44.962778	-22.576111	5700	202
20.339588	46.425278	-23895	0	44
0	44.959722	-23.074444	19600	179
0	47.619444	-21.903889	6700	208
50.54689	46.622778	-23.686111	0	15
17.157105	50.606111	-20.466111	4394	533
72.557207	46.739167	-21.661389	900	209
