codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3500105;52,221147;Adamantina;51,0725;-21,685278;2500;501
3500204;20,792106;Adolfo;49,643611;-21,235;1480;402
3500303;21,153444;Aguaí;46,978611;-22,059444;1500;169
3500402;9,1412908;Águas da Prata;46,716667;-21,936667;980;179
3500501;53,70899;Águas de Lindóia;46,632778;-22,476389;400;119
3500550;37,851102;Águas de Santa Bárbara;49,238889;-22,880556;1180;276
3500600;27,174679;Águas de São Pedro;47,876111;-22,599444;0;165
3500709;80,795464;Agudos;48,9875;-22,469167;780;269
3500758;16,386941;Alambari;47,898611;-23,550833;1420;129
3500808;24,179165;Alfredo Marcondes;51,412778;-21,955278;3000;521
3500907;62,52044;Altair;49,058889;-20,523611;857;418
3501004;28,70187;Altinópolis;47,373889;-21,025556;3600;289
3501103;31,982961;Alto Alegre;50,163611;-21,580556;2790;423
3501152;80,901207;Alumínio;47,261944;-23,535;390;64
3501202;35,273052;Álvares Florence;49,910556;-20,320833;5390;492
3501301;30,378171;Álvares Machado;51,471944;-22,079444;4680;522
3501400;14,97061;Álvaro de Carvalho;49,718889;-22,089167;1297;355
3501509;33,761972;Alvinlândia;49,763056;-22,444167;340;343
3501608;33,344272;Americana;47,331389;-22,739167;650;114
3501707;42,18981;Américo Brasiliense;48,101667;-21,724444;200;252
3501806;37,397299;Américo de Campos;49,731667;-20,299167;3940;481
3501905;36,036768;Amparo;46,764444;-22,701111;3600;95
3502002;25,153108;Analândia;47,663056;-22,126389;800;189
3502101;39,110491;Andradina;51,379444;-20,896111;7400;570
3502200;38,393313;Angatuba;48,412778;-23,489722;8490;182
3502309;27,81778;Anhembi;48,127222;-22,789444;2600;174
3502408;27,797935;Anhumas;51,387222;-22,295278;3500;507
3502507;37,482154;Aparecida;45,229722;-22,846944;470;164
3502606;12,814515;Aparecida d'Oeste;50,879722;-20,449444;2387;557
3502705;23,502734;Apiaí;48,8425;-24,509444;100;248
3502754;31,08101;Araçariguama;47,061389;-23,438611;413;45
3502804;69,804894;Araçatuba;50,432778;-21,208889;3840;469
3502903;45,770622;Araçoiaba da Serra;47,614167;-23,505278;846;100
3503000;13,830351;Aramina;47,785833;-20,090278;300;401
3503109;44,958741;Arandu;49,053889;-23,134444;1000;251
3503158;68,828334;Arapeí;44,447778;-22,673889;2017;244
3503208;31,287351;Araraquara;48,175556;-21,794444;2500;250
3503307;55,91914;Araras;47,384167;-22,356944;1534;153
3503356;68,006096;Arco-Íris;50,465;-21,7725;320;440
3503406;31,296155;Arealva;48,911111;-22,028611;2408;288
3503505;61,266278;Areias;44,696944;-22,579722;3100;226
3503604;48,491382;Areiópolis;48,665;-22,668056;360;230
3503703;54,706067;Ariranha;48,786944;-21,187778;290;343
3503802;38,716097;Artur Nogueira;47,1725;-22,573056;1233;121
3503901;88,404207;Arujá;46,320833;-23,396111;35;36
3503950;28,868934;Aspásia;50,727222;-20,158889;2927;565
3504008;40,485505;Assis;50,412222;-22,661667;2600;399
3504107;18,372145;Atibaia;46,550278;-23,116944;1600;48
3504206;36,906349;Auriflama;50,554722;-20,685556;3600;514
3504305;34,024034;Avaí;49,333056;-22,146667;1710;317
3504404;12,693888;Avanhandava;49,949722;-21,460833;1990;412
3504503;31,717358;Avaré;48,925833;-23,098611;4120;239
3504602;29,353853;Bady Bassitt;49,445278;-20,918056;1230;411
3504701;50,023116;Balbinos;49,356667;-21,899722;336;334
3504800;13,900309;Bálsamo;49,583611;-20,735278;1530;435
3504909;78,374866;Bananal;44,323333;-22,683611;1580;256
3505005;51,490713;Barão de Antonina;49,561389;-23,626944;1430;299
3505104;31,478382;Barbosa;49,949167;-21,266667;1140;424
3505203;36,389146;Bariri;48,740278;-22,074444;2100;271
3505302;67,767613;Barra Bonita;48,558056;-22,494722;340;229
3505351;20,513717;Barra do Chapéu;49,024444;-24,473056;90;264
3505401;51,262531;Barra do Turvo;48,504722;-24,756389;900;232
3505500;0;Barretos;48,567778;-20,557222;2500;387
3505609;42,523993;Barrinha;48,163889;-21,193611;150;304
3505708;51,149879;Barueri;46,876111;-23,510556;0;25
3505807;51,474558;Bastos;50,733889;-21,921944;650;458
3505906;0;Batatais;47,585;-20,891111;5000;310
3506003;66,392015;Bauru;49,060556;-22,314722;980;284
3506102;0;Bebedouro;48,479167;-20,949444;2750;345
3506201;33,684066;Bento de Abreu;50,811944;-21,270556;170;498
3506300;22,104525;Bernardino de Campos;49,474167;-23,013056;2840;296
3506359;19,521237;Bertioga;46,138611;-23,854444;0;61
3506409;65,110141;Bilac;50,470556;-21,403333;1500;461
3506508;57,023746;Birigui;50,34;-21,288611;4600;456
3506607;78,27814;Biritiba-Mirim;46,038611;-23,5725;135;61
3506706;0;Boa Esperança do Sul;48,390833;-21,9925;3000;249
3506805;20,667051;Bocaina;48,518056;-22,136111;1370;248
3506904;27,08581;Bofete;48,257778;-23,102222;4080;173
3507001;51,831677;Boituva;47,672222;-23,283333;1030;110
3507100;21,820351;Bom Jesus dos Perdões;46,465278;-23,135;500;49
3507159;40,122911;Bom Sucesso de Itararé;49,143889;-24,317778;78;269
3507209;26,597805;Borá;50,534444;-22,269722;1736;424
3507308;48,688228;Boracéia;48,778889;-22,193056;990;266
3507407;22,727867;Borborema;49,073611;-21,619722;1950;329
3507456;87,662812;Borebi;48,971111;-22,569444;236;263
3507506;29,702775;Botucatu;48,445;-22,885833;5800;199
3507605;0;Bragança Paulista;46,541944;-22,951944;6000;67
3507704;47,522784;Braúna;50,315556;-21,499167;1330;441
3507753;60,430897;Brejo Alegre;50,185278;-21,166389;450;451
3507803;13,523048;Brodowski;47,658611;-20,991389;1000;302
3507902;69,387683;Brotas;48,126667;-22,284167;2980;207
3508009;55,855886;Buri;48,592778;-23,7975;3000;202
3508108;51,487059;Buritama;50,147222;-21,066111;2850;454
3508207;0;Buritizal;47,708333;-20,191111;3000;388
3508306;42,627399;Cabrália Paulista;49,3375;-22,455556;586;302
3508405;17,669396;Cabreúva;47,132778;-23,3075;2100;57
