codigo,dist_centro,longitude,latitude,peso,dist_cap
3500105,"52,221147","51,0725","-21,685278",2500,501
3500204,"20,792106","49,643611","-21,235",1480,402
3500303,"21,153444","46,978611","-22,059444",1500,169
3500402,"9,1412908","46,716667","-21,936667",980,179
3500501,"53,70899","46,632778","-22,476389",400,119
3500550,"37,851102","49,238889","-22,880556",1180,276
3500600,"27,174679","47,876111","-22,599444",0,165
3500709,"80,795464","48,9875","-22,469167",780,269
3500758,"16,386941","47,898611","-23,550833",1420,129
3500808,"24,179165","51,412778","-21,955278",3000,521
3500907,"62,52044","49,058889","-20,523611",857,418
3501004,"28,70187","47,373889","-21,025556",3600,289
3501103,"31,982961","50,163611","-21,580556",2790,423
3501152,"80,901207","47,261944","-23,535",390,64
3501202,"35,273052","49,910556","-20,320833",5390,492
3501301,"30,378171","51,471944","-22,079444",4680,522
3501400,"14,97061","49,718889","-22,089167",1297,355
3501509,"33,761972","49,763056","-22,444167",340,343
3501608,"33,344272","47,331389","-22,739167",650,114
3501707,"42,18981","48,101667","-21,724444",200,252
3501806,"37,397299","49,731667","-20,299167",3940,481
3501905,"36,036768","46,764444","-22,701111",3600,95
3502002,"25,153108","47,663056","-22,126389",800,189
3502101,"39,110491","51,379444","-20,896111",7400,570
3502200,"38,393313","48,412778","-23,489722",8490,182
3502309,"27,81778","48,127222","-22,789444",2600,174
3502408,"27,797935","51,387222","-22,295278",3500,507
3502507,"37,482154","45,229722","-22,846944",470,164
3502606,"12,814515","50,879722","-20,449444",2387,557
3502705,"23,502734","48,8425","-24,509444",100,248
3502754,"31,08101","47,061389","-23,438611",413,45
3502804,"69,804894","50,432778","-21,208889",3840,469
3502903,"45,770622","47,614167","-23,505278",846,100
3503000,"13,830351","47,785833","-20,090278",300,401
3503109,"44,958741","49,053889","-23,134444",1000,251
3503158,"68,828334","44,447778","-22,673889",2017,244
3503208,"31,287351","48,175556","-21,794444",2500,250
3503307,"55,91914","47,384167","-22,356944",1534,153
3503356,"68,006096","50,465","-21,7725",320,440
3503406,"31,296155","48,911111","-22,028611",2408,288
3503505,"61,266278","44,696944","-22,579722",3100,226
3503604,"48,491382","48,665","-22,668056",360,230
3503703,"54,706067","48,786944","-21,187778",290,343
3503802,"38,716097","47,1725","-22,573056",1233,121
3503901,"88,404207","46,320833","-23,396111",35,36
3503950,"28,868934","50,727222","-20,158889",2927,565
3504008,"40,485505","50,412222","-22,661667",2600,399
3504107,"18,372145","46,550278","-23,116944",1600,48
3504206,"36,906349","50,554722","-20,685556",3600,514
3504305,"34,024034","49,333056","-22,146667",1710,317
3504404,"12,693888","49,949722","-21,460833",1990,412
3504503,"31,717358","48,925833","-23,098611",4120,239
3504602,"29,353853","49,445278","-20,918056",1230,411
3504701,"50,023116","49,356667","-21,899722",336,334
3504800,"13,900309","49,583611","-20,735278",1530,435
3504909,"78,374866","44,323333","-22,683611",1580,256
3505005,"51,490713","49,561389","-23,626944",1430,299
3505104,"31,478382","49,949167","-21,266667",1140,424
3505203,"36,389146","48,740278","-22,074444",2100,271
3505302,"67,767613","48,558056","-22,494722",340,229
3505351,"20,513717","49,024444","-24,473056",90,264
3505401,"51,262531","48,504722","-24,756389",900,232
3505500,0,"48,567778","-20,557222",2500,387
3505609,"42,523993","48,163889","-21,193611",150,304
3505708,"51,149879","46,876111","-23,510556",0,25
3505807,"51,474558","50,733889","-21,921944",650,458
3505906,0,"47,585","-20,891111",5000,310
3506003,"66,392015","49,060556","-22,314722",980,284
3506102,0,"48,479167","-20,949444",2750,345
3506201,"33,684066","50,811944","-21,270556",170,498
3506300,"22,104525","49,474167","-23,013056",2840,296
3506359,"19,521237","46,138611","-23,854444",0,61
3506409,"65,110141","50,470556","-21,403333",1500,461
3506508,"57,023746","50,34","-21,288611",4600,456
3506607,"78,27814","46,038611","-23,5725",135,61
3506706,0,"48,390833","-21,9925",3000,249
3506805,"20,667051","48,518056","-22,136111",1370,248
3506904,"27,08581","48,257778","-23,102222",4080,173
3507001,"51,831677","47,672222","-23,283333",1030,110
3507100,"21,820351","46,465278","-23,135",500,49
3507159,"40,122911","49,143889","-24,317778",78,269
3507209,"26,597805","50,534444","-22,269722",1736,424
3507308,"48,688228","48,778889","-22,193056",990,266
3507407,"22,727867","49,073611","-21,619722",1950,329
3507456,"87,662812","48,971111","-22,569444",236,263
3507506,"29,702775","48,445","-22,885833",5800,199
3507605,0,"46,541944","-22,951944",6000,67
3507704,"47,522784","50,315556","-21,499167",1330,441
3507753,"60,430897","50,185278","-21,166389",450,451
3507803,"13,523048","47,658611","-20,991389",1000,302
3507902,"69,387683","48,126667","-22,284167",2980,207
3508009,"55,855886","48,592778","-23,7975",3000,202
3508108,"51,487059","50,147222","-21,066111",2850,454
3508207,0,"47,708333","-20,191111",3000,388
3508306,"42,627399","49,3375","-22,455556",586,302
3508405,"17,669396","47,132778","-23,3075",2100,57
3508504,"17,591517","45,706944","-23,100833",4000,107
3508603,"45,82517","45,009444","-22,665",5870,193
3508702,"73,989405","46,643889","-21,529444",3200,223
3508801,"39,136642","49,61","-21,8025",692,362
3508900,"16,28963","51,235556","-22,012222",3500,502
3509007,"50,147198","46,740556","-23,364167",0,23
3509106,"14,29412","51,998333","-21,831667",2210,583
3509205,"44,324831","46,876944","-23,356111",93,32
3509254,"13,111049","48,122778","-24,736111",2000,200
3509304,"78,11972","48,809444","-20,879722",480,371
3509403,0,"47,304167","-21,275278",11000,261
3509452,"43,235291","48,477222","-23,591944",2650,188
3509502,0,"47,060833","-22,905556",9585,83
3509601,"43,81452","46,784444","-23,206389",21,41
3509700,"32,12956","45,591389","-22,739444",115,139
3509809,"56,343234","50,0025","-22,603056",575,360
3509908,"36,641809","47,926667","-25,014722",100,209
3509957,"42,392656","45,055278","-22,703611",945,187
3510005,"48,830396","50,386944","-22,746389",690,394
3510104,"52,287424","48,630833","-21,325278",80,321
3510153,"29,20106","49,783333","-23,006389",89,328
3510203,"81,670675","48,349444","-24,005833",1800,182
